Symbol,Name,Sector,Price,Price/Earnings,Dividend Yield,Earnings/Share,52 Week Low,52 Week High,Market Cap,EBITDA,Price/Sales,Price/Book,SEC Filings,Paga_Dividendos,Tamanio_Empresa,Valuacion_PE
TGT,Target Corporation,Consumer Staples Merchandise Retail,154.48,20.406868,0.03,7.57,83.44,156.47,70163439616.0,8344000000.0,0.6595734,4.2794614,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TGT,Sí,Large Cap,Neutral
TEL,TE Connectivity,Electronic Manufacturing Services,216.23,21.178257,0.0138,10.21,190.27,252.56,62693871616.0,4951000064.0,3.2446885,4.733063,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TEL,Sí,Large Cap,Neutral
TDY,Teledyne Technologies,Electronic Equipment & Instruments,679.67,32.89787,0.0,20.66,483.02,697.67,31488522240.0,1592400000.0,4.939841,2.885582,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TDY,No,Large Cap,Sobrevalorada
TFX,Teleflex,Health Care Equipment,137.17,,0.0099,-0.53,100.18,145.0,5812221440.0,403903008.0,2.578026,2.0010796,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TFX,Sí,Mid Cap,Sin P/E (Pérdidas)
TER,Teradyne,Semiconductor Materials & Equipment,418.79,57.44719,0.0012,7.29,106.3,487.91,65473945600.0,1504893952.0,14.667,19.064507,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TER,Sí,Large Cap,Sobrevalorada
TSLA,"Tesla, Inc.",Automobile Manufacturers,342.27,311.15454,0.0,1.1,297.38,498.83,1351811596288.0,10755000320.0,13.045981,15.561263,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TSLA,No,Large Cap (Mega),Sobrevalorada
TXN,Texas Instruments,Semiconductors,279.58,42.55403,0.0203,6.57,152.73,334.03,255325782016.0,9520000000.0,13.125265,14.175328,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TXN,Sí,Large Cap (Mega),Sobrevalorada
TXT,Textron,Aerospace & Defense,89.0,16.760828,0.0009,5.31,78.12,101.57,15476118528.0,1680000000.0,1.0115771,1.9336896,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TXT,Sí,Large Cap,Neutral
TMO,Thermo Fisher Scientific,Life Sciences Tools & Services,588.29,31.645508,0.0032,18.59,435.27,643.99,217518620672.0,11738999808.0,4.6943765,4.1291327,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TMO,Sí,Large Cap (Mega),Sobrevalorada
TJX,TJX Companies,Apparel Retail,152.11,29.593386,0.0126,5.14,132.63,170.0,168036581376.0,8835000320.0,2.7285752,16.15785,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TJX,Sí,Large Cap,Neutral
